TITHI,TITHIEND,TITHI2,TITHIEND,NAKSHATRA,NAKSHATRAEND,NAKSHATRA2,NAKSHATRA2END,YOGA,YOGAEND,YOGA2,YOGA2END,KARANA,KARANAEND,KARANA2,KARANA2END,KARANA3,KARANA3END,
Tithi - Dashami ,12:03 AM,Tithi - None,None,Nakshatra - Bharani ,2:13 PM,Nakshatra - None,None,Yoga - Shubha ,3:45 AM,Yoga - None,None,Karana - Taitila ,12:30 PM,Karana - Garaja ,12:03 AM,Karana - None,None,
Tithi - Ekadashi ,10:34 PM,Tithi - None,None,Nakshatra - Krittika ,1:41 PM,Nakshatra - None,None,Yoga - Shukla ,1:15 AM,Yoga - None,None,Karana - Vanija ,11:25 AM,Karana - Vishti ,10:34 PM,Karana - None,None,
Tithi - Dwadashi ,8:22 PM,Tithi - None,None,Nakshatra - Rohini ,12:26 PM,Nakshatra - None,None,Yoga - Brahma ,10:11 PM,Yoga - None,None,Karana - Bava ,9:33 AM,Karana - Balava ,8:22 PM,Karana - Kaulava ,7:02 AM,
Tithi - Trayodashi ,5:34 PM,Tithi - None,None,Nakshatra - Mrigashirsha ,10:32 AM,Nakshatra - None,None,Yoga - Indra ,6:38 PM,Yoga - None,None,Karana - Taitila ,5:34 PM,Karana - Garaja ,4:00 AM,Karana - None,None,
Tithi - Chaturdashi ,2:19 PM,Tithi - None,None,Nakshatra - Ardra ,8:08 AM,Nakshatra - Punarvasu ,5:23 AM,Yoga - Vaidhriti ,2:44 PM,Yoga - None,None,Karana - Vanija ,2:19 PM,Karana - Vishti ,12:34 AM,Karana - None,None,
Tithi - Purnima ,10:46 AM,Tithi - Pratipada ,7:05 AM,Nakshatra - Pushya ,2:28 AM,Nakshatra - None,None,Yoga - Vishkambha ,10:35 AM,Yoga - Priti ,6:19 AM,Karana - Bava ,10:46 AM,Karana - Balava ,8:56 PM,Karana - Kaulava ,7:05 AM,
Tithi - Dwitiya ,3:26 AM,Tithi - None,None,Nakshatra - Ashlesha ,11:32 PM,Nakshatra - None,None,Yoga - Ayushman ,2:05 AM,Yoga - None,None,Karana - Taitila ,5:14 PM,Karana - Garaja ,3:26 AM,Karana - None,None,
Tithi - Tritiya ,11:59 PM,Tithi - None,None,Nakshatra - Magha ,8:47 PM,Nakshatra - None,None,Yoga - Saubhagya ,10:00 PM,Yoga - None,None,Karana - Vanija ,1:40 PM,Karana - Vishti ,11:59 PM,Karana - None,None,
Tithi - Chaturthi ,8:54 PM,Tithi - None,None,Nakshatra - Purva Phalguni ,6:22 PM,Nakshatra - None,None,Yoga - Shobhana ,6:13 PM,Yoga - None,None,Karana - Bava ,10:23 AM,Karana - Balava ,8:54 PM,Karana - None,None,
Tithi - Panchami ,6:18 PM,Tithi - None,None,Nakshatra - Uttara Phalguni ,4:26 PM,Nakshatra - None,None,Yoga - Atiganda ,2:48 PM,Yoga - None,None,Karana - Kaulava ,7:32 AM,Karana - Taitila ,6:18 PM,Karana - Garaja ,5:14 AM,
Tithi - Shashthi ,4:19 PM,Tithi - None,None,Nakshatra - Hasta ,3:05 PM,Nakshatra - None,None,Yoga - Sukarman ,11:53 AM,Yoga - None,None,Karana - Vanija ,4:19 PM,Karana - Vishti ,3:35 AM,Karana - None,None,
Tithi - Saptami ,3:02 PM,Tithi - None,None,Nakshatra - Chitra ,2:25 PM,Nakshatra - None,None,Yoga - Dhriti ,9:30 AM,Yoga - None,None,Karana - Bava ,3:02 PM,Karana - Balava ,2:40 AM,Karana - None,None,
Tithi - Ashtami ,2:29 PM,Tithi - None,None,Nakshatra - Swati ,2:29 PM,Nakshatra - None,None,Yoga - Shula ,7:42 AM,Yoga - Ganda ,6:28 AM,Karana - Kaulava ,2:29 PM,Karana - Taitila ,2:30 AM,Karana - None,None,
Tithi - Navami ,2:41 PM,Tithi - None,None,Nakshatra - Vishakha ,3:15 PM,Nakshatra - None,None,Yoga - Vriddhi ,5:48 AM,Yoga - None,None,Karana - Garaja ,2:41 PM,Karana - Vanija ,3:02 AM,Karana - None,None,
Tithi - Dashami ,3:33 PM,Tithi - None,None,Nakshatra - Anuradha ,4:41 PM,Nakshatra - None,None,Yoga - Dhruva ,5:36 AM,Yoga - None,None,Karana - Vishti ,3:33 PM,Karana - Bava ,4:13 AM,Karana - None,None,
Tithi - Ekadashi ,5:02 PM,Tithi - None,None,Nakshatra - Jyeshtha ,6:41 PM,Nakshatra - None,None,Yoga - Vyaghata ,5:49 AM,Yoga - None,None,Karana - Balava ,5:02 PM,Karana - Kaulava ,5:57 AM,Karana - None,None,
Tithi - Dwadashi ,6:59 PM,Tithi - None,None,Nakshatra - Mula ,9:08 PM,Nakshatra - None,None,Yoga - Harshana ,6:20 AM,Yoga - None,None,Karana - Taitila ,6:59 PM,Karana - Garaja,Full Night,Karana - None,None,
Tithi - Trayodashi ,9:19 PM,Tithi - None,None,Nakshatra - Purva Ashadha ,11:55 PM,Nakshatra - None,None,Yoga - Vajra ,7:06 AM,Yoga - None,None,Karana - Garaja ,8:07 AM,Karana - Vanija ,9:19 PM,Karana - None,None,
Tithi - Chaturdashi ,11:52 PM,Tithi - None,None,Nakshatra - Uttara Ashadha ,2:56 AM,Nakshatra - None,None,Yoga - Siddhi ,Full Night,Yoga - None,None,Karana - Vishti ,10:34 AM,Karana - Shakuni ,11:52 PM,Karana - None,None,
Tithi - Amavasya ,2:33 AM,Tithi - None,None,Nakshatra - Shravana ,6:02 AM,Nakshatra - None,None,Yoga - Siddhi ,8:00 AM,Yoga - None,None,Karana - Chatushpada ,1:12 PM,Karana - Nagava ,2:33 AM,Karana - None,None,
Tithi - Pratipada ,5:15 AM,Tithi - None,None,Nakshatra - Dhanishtha ,Full Night,Nakshatra - None,None,Yoga - Vyatipata ,8:58 AM,Yoga - None,None,Karana - Kinstughna ,3:55 PM,Karana - Bava ,5:15 AM,Karana - None,None,
Tithi - Dwitiya,Full Night,Tithi - None,None,Nakshatra - Dhanishtha ,9:09 AM,Nakshatra - None,None,Yoga - Varigha ,9:56 AM,Yoga - None,None,Karana - Balava ,6:35 PM,Karana - Kaulava ,Full Night,Karana - None,None,
Tithi - Dwitiya ,7:52 AM,Tithi - None,None,Nakshatra - Shatabhisha ,12:10 PM,Nakshatra - None,None,Yoga - Parigha ,10:49 AM,Yoga - None,None,Karana - Kaulava ,7:52 AM,Karana - Taitila ,9:07 PM,Karana - None,None,
Tithi - Tritiya ,10:18 AM,Tithi - None,None,Nakshatra - Purva Bhadrapada ,2:59 PM,Nakshatra - None,None,Yoga - Shiva ,11:34 AM,Yoga - None,None,Karana - Garaja ,10:18 AM,Karana - Vanija ,11:24 PM,Karana - None,None,
Tithi - Chaturthi ,12:26 PM,Tithi - None,None,Nakshatra - Uttara Bhadrapada ,5:31 PM,Nakshatra - None,None,Yoga - Siddha ,12:05 PM,Yoga - None,None,Karana - Vishti ,12:26 PM,Karana - Bava ,1:21 AM,Karana - None,None,
Tithi - Panchami ,2:09 PM,Tithi - None,None,Nakshatra - Revati ,7:38 PM,Nakshatra - None,None,Yoga - Sadhya ,12:18PM,Yoga - None,None,Karana - Balava ,2:09 PM,Karana - Kaulava ,2:49 AM,Karana - None,None,
Tithi - Shashthi,3:20 PM,Tithi - None,None,Nakshatra - Ashwini ,9:13 PM,Nakshatra - None,None,Yoga - Shubha ,12:08 PM,Yoga - None,None,Karana - Taitila ,3:20 PM,Karana - Garaja ,3:42 AM,Karana - None,None,
Tithi - Saptami ,3:54 PM,Tithi - None,None,Nakshatra - Bharani ,10:11 PM,Nakshatra - None,None,Yoga - Shukla ,11:29 AM,Yoga - None,None,Karana - Vanija ,3:54 PM,Karana - Vishti upto,03:56AM,Karana - None,None,
Tithi - Ashtami ,3:46 PM,Tithi - None,None,Nakshatra - Krittika ,10:28 PM,Nakshatra - None,None,Yoga - Brahma,10:19 AM,Yoga - None,None,Karana - Bava ,3:46 PM,Karana - Balava ,3:26 AM,Karana - None,None,
Tithi - Navami ,2:54 PM,Tithi - None,None,Nakshatra - Rohini ,10:02 PM,Nakshatra - None,None,Yoga - Indra upto0,8:35 AM,Yoga - Vaidhriti ,6:17 AM,Karana - Kaulava ,2:54 PM,Karana - Taitila ,2:12 AM,Karana - None,None,
Tithi - Dashami ,1:19 PM,Tithi - None,None,Nakshatra - Mrigashirsha ,8:53 PM,Nakshatra - None,None,Yoga - Vishkambha ,3:24 AM,Yoga - None,None,Karana - Garaja ,1:19 PM,Karana - Vanija ,12:15 AM,Karana - None,None,
Tithi - Ekadashi ,11:02 AM,Tithi - None,None,Nakshatra - Ardra ,7:06 PM,Nakshatra - None,None,Yoga - Priti ,12:02 AM,Yoga - None,None,Karana - Vishti ,11:02 AM,Karana - Bava ,9:40 PM,Karana - None,None,
Tithi - Dwadashi ,8:10 AM,Tithi - Trayodashi ,4:50 AM,Nakshatra - Punarvasu ,4:46 PM,Nakshatra - None,None,Yoga - Ayushman ,8:14 PM,Yoga - None,None,Karana - Balava ,8:10 AM,Karana - Kaulava ,6:33 PM,Karana - Taitila ,4:50 AM,
Tithi - Chaturdashi ,1:11 AM,Tithi - None,None,Nakshatra - Pushya ,2:02 PM,Nakshatra - None,None,Yoga - Saubhagya ,4:08 PM,Yoga - None,None,Karana - Garaja ,3:02 PM,Karana - Vanija ,1:11 AM,Karana - None,None,
Tithi - Purnima ,9:23 PM,Tithi - None,None,Nakshatra - Ashlesha ,11:03 AM,Nakshatra - None,None,Yoga - Shobhana ,11:50 AM,Yoga - None,None,Karana - Vishti ,11:18 AM,Karana - Bava ,9:23 PM,Karana - None,None,
Tithi - Pratipada ,5:36 PM,Tithi - None,None,Nakshatra - Magha ,8:00 AM,Nakshatra - Purva Phalguni ,5:04 AM,Yoga - Atiganda ,7:29 AM,Yoga - Sukarman ,3:14 AM,Karana - Balava ,7:29 AM,Karana - Kaulava ,5:36 PM,Karana - Taitila ,3:47 AM,
Tithi - Dwitiya ,2:02 PM,Tithi - None,None,Nakshatra - Uttara Phalguni ,2:27 AM,Nakshatra - None,None,Yoga - Dhriti ,11:13 PM,Yoga - None,None,Karana - Garaja ,2:02 PM,Karana - Vanija ,12:22 AM,Karana - None,None,
Tithi - Tritiya ,10:50 AM,Tithi - None,None,Nakshatra - Hasta ,12:18 AM,Nakshatra - None,None,Yoga - Shula ,7:34 PM,Yoga - None,None,Karana - Vishti ,10:50 AM,Karana - Bava ,9:26 PM,Karana - None,None,
Tithi - Chaturthi ,8:11 AM,Tithi - Panchami ,6:13 AM,Nakshatra - Chitra ,10:48 PM,Nakshatra - None,None,Yoga - Ganda ,4:26 PM,Karana - Balava ,8:11 AM,Karana - Kaulava ,7:06 PM,Karana - Taitila ,6:13 AM,Karana - None,None,
Tithi - Shashthi ,5:04 AM,Tithi - None,None,Nakshatra - Swati ,10:03 PM,Nakshatra - None,None,Yoga - Vriddhi ,1:53 PM,Yoga - None,None,Karana - Garaja ,5:32 PM,Karana - Vanija ,5:04 AM,Karana - None,None,
Tithi - Saptami ,4:47 AM,Tithi - None,None,Nakshatra - Vishakha ,10:09 PM,Nakshatra - None,None,Yoga - Dhruva ,12:00 PM,Yoga - None,None,Karana - Vishti ,4:49 PM,Karana - Bava ,4:47 AM,Karana - None,None,
Tithi - Ashtami ,5:21 AM,Tithi - None,None,Nakshatra - Anuradha ,11:04 PM,Nakshatra - None,None,Yoga - Vyaghata ,10:48 AM,Yoga - None,None,Karana - Balava ,4:57 PM,Karana - Kaulava ,5:21 AM,Karana - None,None,
Tithi - Navami ,6:41 AM,Tithi - None,None,Nakshatra - Jyeshtha ,12:46 AM,Nakshatra - None,None,Yoga - Harshana ,10:14 AM,Yoga - None,None,Karana - Taitila ,5:55 PM,Karana - Garaja ,6:41 AM,Karana - None,None,
Tithi - Dashami ,Full Night,Tithi - None,None,Nakshatra - Mula ,3:07 AM,Nakshatra - None,None,Yoga - Vajra ,10:15 AM,Yoga - None,None,Karana - Vanija ,7:36 PM,Karana - Vishti ,Full Night,Karana - None,None,
Tithi - Dashami ,8:39 AM,Tithi - None,None,Nakshatra - Purva Ashadha ,5:55 AM,Nakshatra - None,None,Yoga - Siddhi ,10:44 AM,Yoga - None,None,Karana - Vishti ,8:39 AM,Karana -Bava ,9:49 PM,Karana - None,None,
Tithi - Ekadashi ,11:04 AM,Tithi - None,None,Nakshatra - Uttara Ashadha ,Full Night,Nakshatra - None,None,Yoga - Vyatipata ,11:32 AM,Yoga - None,None,Karana - Balava ,11:04 AM,Karana - Kaulava ,12:23 AM,Karana - None,None,
Tithi - Dwadashi ,1:45 PM,Tithi - None,None,Nakshatra - Uttara Ashadha ,9:01 AM,Nakshatra - None,None,Yoga - Varigha ,12:32 PM,Yoga - None,None,Karana - Taitila ,1:45 PM,Karana - Garaja,3:07 AM,Karana - None,None,
Tithi - Trayodashi ,4:29 PM,Tithi - None,None,Nakshatra - Shravana ,12:11 PM,Nakshatra - None,None,Yoga - Parigha ,1:34 PM,Yoga - None,None,Karana - Vanija ,4:29 PM,Karana - Vishti upto,5:49 AM,Karana - None,None,
Tithi - Chaturdashi ,7:07 PM,Tithi - None,None,Nakshatra - Dhanishtha ,3:18 PM,Nakshatra - None,None,Yoga - Shiva ,2:33 PM,Yoga - None,None,Karana - Shakuni ,7:07 PM,Karana - Chatushpada ,Full Night,Karana - None,None,
Tithi - Amavasya ,9:34 PM,Tithi - None,None,Nakshatra - Shatabhisha ,6:14 PM,Nakshatra - None,None,Yoga - Siddha ,3:25 PM,Yoga - None,None,Karana - Chatushpada ,8:22 AM,Karana - Nagava upto0,9:34 PM,Karana - None,None,
Tithi - Pratipada ,11:44 PM,Tithi - None,None,Nakshatra - Purva Bhadrapada ,8:55 PM,Nakshatra - None,None,Yoga - Sadhya ,4:04 PM,Yoga - None,None,Karana - Kinstughna ,10:41 AM,Karana - Bava ,11:44 PM,Karana - None,None,
Tithi - Dwitiya ,1:34 AM,Tithi - None,None,Nakshatra - Uttara Bhadrapada ,11:17 PM,Nakshatra - None,None,Yoga - Shubha ,4:30 PM,Yoga - None,None,Karana - Balava ,12:41 PM,Karana - Kaulava ,1:34 AM,Karana - None,None,
Tithi - Tritiya ,3:02 AM,Tithi - None,None,Nakshatra - Revati ,1:19 AM,Nakshatra - None,None,Yoga - Shukla ,4:40 PM,Yoga - None,None,Karana - Taitila ,2:21 PM,Karana - Garaja ,3:02 AM,Karana - None,None,
Tithi - Chaturthi ,4:06 AM,Tithi - None,None,Nakshatra - Ashwini ,2:58 AM,Nakshatra - None,None,Yoga - Brahma ,4:32 PM,Yoga - None,None,Karana - Vanija ,3:38 PM,Karana - Vishti ,4:06 AM,Karana - None,None,
Tithi - Panchami ,4:43 AM,Tithi - None,None,Nakshatra - Bharani ,4:11 AM,Nakshatra - None,None,Yoga - Indra ,4:04 PM,Yoga - None,None,Karana - Bava ,4:28 PM,Karana - Balava ,4:43 AM,Karana - None,None,
Tithi - Shashthi ,4:50 AM,Tithi - None,None,Nakshatra - Krittika ,4:54 AM,Nakshatra - None,None,Yoga - Vaidhriti ,3:15 PM,Yoga - None,None,Karana - Kaulava ,4:50 PM,Karana - Taitila ,4:50 AM,Karana - None,None,
Tithi - Saptami ,4:23 AM,Tithi - None,None,Nakshatra - Rohini ,5:05:00 AM 03/14/2019,Nakshatra - None,None,Yoga - Vishkambha ,2:01 PM,Yoga - None,None,Karana - Garaja ,4:41 PM,Karana - Vanija ,4:23 AM,Karana - None,None,
Tithi - Ashtami ,3:21 AM,Tithi - None,None,Nakshatra - Mrigashirsha ,04:43AM 03/15/2019,Nakshatra - None,None,Yoga - Priti ,12:21 PM,Yoga - None,None,Karana - Vishti ,3:57 PM,Karana - Bava ,3:21 AM,Karana - None,None,
Tithi - Navami ,1:44 AM,Tithi - None,None,Nakshatra - Ardra ,3:45 AM,Nakshatra - None,None,Yoga - Ayushman ,10:13 AM,Yoga - None,None,Karana - Balava ,2:37 PM,Karana - Kaulava ,1:44 AM,Karana - None,None,
Tithi - Dashami ,11:33 PM,Tithi - None,None,Nakshatra - Punarvasu ,2:14 AM,Nakshatra - None,None,Yoga - Saubhagya ,7:37 AM,Yoga - Shobhana ,4:33 AM,Karana - Taitila ,12:43 PM,Karana - Garaja ,11:33 PM,Karana - None,None,
Tithi - Ekadashi ,8:51 PM,Tithi - None,None,Nakshatra - Pushya ,12:12 AM,Nakshatra - None,None,Yoga - Atiganda ,1:06 AM,Yoga - None,None,Karana - Vanija ,10:15 AM,Karana - Vishti ,8:51 PM,Karana - None,None,
Tithi - Dwadashi ,5:43 PM,Tithi - None,None,Nakshatra - Ashlesha ,9:47 PM,Nakshatra - None,None,Yoga - Sukarman ,9:19 PM,Yoga - None,None,Karana - Bava ,7:20 AM,Karana - Balava ,5:43 PM,Karana - Kaulava ,4:02 AM,
Tithi - Trayodashi ,2:18 PM,Tithi - None,None,Nakshatra - Magha ,7:05 PM,Nakshatra - None,None,Yoga - Dhriti ,5:18 PM,Yoga - None,None,Karana - Taitila ,2:18 PM,Karana - Garaja ,12:32 AM,Karana - None,None,
Tithi - Chaturdashi ,10:45 AM,Tithi - None,None,Nakshatra - Purva Phalguni ,4:18 PM,Nakshatra - None,None,Yoga - Shula ,1:12 PM,Yoga - None,None,Karana - Vanija ,10:45 AM,Karana - Vishti ,8:58 PM,Karana - None,None,
Tithi - Purnima ,7:12 AM,Tithi - Pratipada ,3:52 AM,Nakshatra - Uttara Phalguni ,1:34 PM,Nakshatra - None,None,Yoga - Ganda ,9:08 AM,Yoga - Vriddhi,5:15 AM,Karana - Bava ,7:12 AM,Karana - Balava upto0,5:30 PM,Karana - Kaulava ,3:52 AM,
Tithi - Dwitiya ,12:55 AM,Tithi - None,None,Nakshatra - Hasta ,11:07 AM,Nakshatra - None,None,Yoga - Dhruva ,1:42 AM,Yoga - None,None,Karana - Taitila ,2:20 PM,Karana - Garaja,12:55 AM,Karana - None,None,
Tithi - Tritiya ,10:32 PM,Tithi - None,None,Nakshatra - Chitra ,9:06 AM,Nakshatra - None,None,Yoga - Vyaghata upto1,12:37 PM,Yoga - None,None,Karana - Vanija ,11:39 AM,Karana - Vishti ,10:32 PM,Karana - None,None,
Tithi - Chaturthi ,8:51 PM,Tithi - None,None,Nakshatra - Swati ,7:42 AM,Nakshatra - None,None,Yoga - Harshana upto0,8:06 PM,Yoga - None,None,Karana - Bava ,9:36 AM,Karana - Balava ,8:51 PM,Karana - None,None,
Tithi - Panchami ,8:00 PM,Tithi - None,None,Nakshatra - Vishakha ,7:04 AM,Nakshatra - None,None,Yoga - Vajra ,6:15 PM,Yoga - None,None,Karana - Kaulava ,8:19 AM,Karana - Taitila ,8:00 PM,Karana - None,None,
Tithi - Shashthi ,8:02 PM,Tithi - None,None,Nakshatra - Anuradha ,7:16 AM,Nakshatra - None,None,Yoga - Siddhi ,5:05 PM,Yoga - None,None,Karana - Garaja ,7:54 AM,Karana - Vanija upto0,8:02 PM,Karana - None,None,
Tithi - Saptami ,8:55 PM,Tithi - None,None,Nakshatra - Jyeshtha ,8:20 AM,Nakshatra - None,None,Yoga - Vyatipata ,4:36 PM,Yoga - None,None,Karana - Vishti ,8:22 AM,Karana - Bava ,8:55 PM,Karana - None,None,
Tithi - Ashtami ,10:34 PM,Tithi - None,None,Nakshatra - Mula ,10:11 AM,Nakshatra - None,None,Yoga - Varigha,4:43 PM,Yoga - None,None,Karana - Balava ,9:39 AM,Karana - Kaulava ,10:34PM,Karana - None,None,
Tithi - Navami ,12:48 AM,Tithi - None,None,Nakshatra - Purva Ashadha ,12:42PM,Nakshatra - None,None,Yoga - Parigha ,5:19 PM,Yoga - None,None,Karana - Taitila ,11:38 AM,Karana - Garaja ,12:48 AM,Karana - None,None,
Tithi - Dashami ,3:23 AM,Tithi - None,None,Nakshatra - Uttara Ashadha ,3:39 PM,Nakshatra - None,None,Yoga - Shiva ,6:14 PM,Yoga - None,None,Karana - Vanija ,2:04 PM,Karana - Vishti ,3:23 AM,Karana - None,None,
Tithi - Ekadashi ,6:04 AM,Tithi - None,None,Nakshatra - Shravana ,6:48 PM,Nakshatra - None,None,Yoga - Siddha ,7:17 PM,Yoga - None,None,Karana - Bava ,4:44 PM,Karana - Balava ,6:04 AM,Karana - None,None,
Tithi - Dwadashi ,Full Night,Tithi - None,None,Nakshatra - Dhanishtha ,9:55 PM,Nakshatra - None,None,Yoga - Sadhya ,8:19 PM,Yoga - None,None,Karana - Kaulava ,7:23 PM,Karana - Taitila ,Full Night,Karana - None,None,
Tithi - Dwadashi ,8:38 AM,Tithi - None,None,Nakshatra - Shatabhisha ,12:50 AM,Nakshatra - None,None,Yoga - Shubha ,9:12 PM,Yoga - None,None,Karana - Taitila ,8:38 AM,Karana - Garaja ,9:50 PM,Karana - None,None,
Tithi - Trayodashi ,10:56 AM,Tithi - None,None,Nakshatra - Purva Bhadrapada ,3:25 AM,Nakshatra - None,None,Yoga - Shukla ,9:50 PM,Yoga - None,None,Karana - Vanija ,10:56 AM,Karana - Vishti ,11:57 PM,Karana - None,None,
Tithi - Chaturdashi ,12:51 PM,Tithi - None,None,Nakshatra - Uttara Bhadrapada ,5:37 AM,Nakshatra - None,None,Yoga - Brahma ,10:09 PM,Yoga - None,None,Karana - Shakuni ,12:51 PM,Karana - Chatushpada ,1:39 AM,Karana - None,None,
Tithi - Amavasya ,2:20 PM,Tithi - None,None,Nakshatra - Revati ,Full Night,Nakshatra - None,None,Yoga - Indra ,10:08 PM,Yoga - None,None,Karana - Nagava ,2:20 PM,Karana - Kinstughna ,2:55 AM,Karana - None,None,
Tithi - Pratipada ,3:23 PM,Tithi - None,None,Nakshatra - Revati ,7:23 AM,Nakshatra - None,None,Yoga - Vaidhriti upto0,9:48 PM,Yoga - None,None,Karana - Bava ,3:23 PM,Karana - Balava ,3:45 AM,Karana - None,None,
Tithi - Dwitiya ,4:01 PM,Tithi - None,None,Nakshatra - Ashwini ,8:45 AM,Nakshatra - None,None,Yoga - Vishkambha ,9:09 PM,Yoga - None,None,Karana - Kaulava ,4:01 PM,"Karana - Taitila """,4:11 AM,Karana - None,None,
Tithi - Tritiya ,4:16 PM,Tithi - None,None,Nakshatra - Bharani ,9:44 AM,Nakshatra - None,None,Yoga - Priti ,08:12PM,Yoga - None,None,Karana - Garaja ,4:16 PM,Karana - Vanija ,4:14 AM,Karana - None,None,
Tithi - Chaturthi ,4:07 PM,Tithi - None,None,Nakshatra - Krittika ,10:20 AM,Nakshatra - None,None,Yoga - Ayushman ,6:57 PM,Yoga - None,None,Karana - Vishti ,4:07 PM,"Karana - Bava """,3:54 AM,Karana - None,None,
Tithi - Panchami ,3:36 PM,Tithi - None,None,Nakshatra - Rohini ,10:34 AM,Nakshatra - None,None,Yoga - Saubhagya ,5:25 PM,Yoga - None,None,Karana - Balava ,3:36 PM,Karana - Kaulava ,3:12 AM,Karana - None,None,
Tithi - Shashthi ,2:42 PM,Tithi - None,None,Nakshatra - Mrigashirsha ,10:26 AM,Nakshatra - None,None,Yoga - Shobhana ,3:34 PM,Yoga - None,None,Karana - Taitila ,2:42 PM,Karana - Garaja ,2:06 AM,Karana - None,None,
Tithi - Saptami ,1:24 PM,Tithi - None,None,Nakshatra - Ardra ,9:55 AM,Nakshatra - None,None,Yoga - Atiganda ,1:24 PM,Yoga - None,None,Karana - Vanija ,1:24 PM,"Karana - Vishti """,12:35AM,Karana - None,None,
Tithi - Ashtami ,11:41 AM,Tithi - None,None,Nakshatra - Punarvasu ,8:59 AM,Nakshatra - None,None,Yoga - Sukarman ,10:55 AM,Yoga - None,None,Karana - Bava ,11:41 AM,Karana - Balava ,10:41 PM,Karana - None,None,
