SUMMARY,DTSTART,DTEND,SUNRISE,SUNSET,MOONRISE,MOONSET,MONTH,WEEKDAY,PAKSHA,TITHI,TITHIEND,TITHI2,TITHIEND,NAKSHATRA,NAKSHATRAEND,NAKSHATRA2,NAKSHATRA2END,YOGA,YOGAEND,YOGA2,YOGA2END,KARANA,KARANAEND,KARANA2,KARANA2END,KARANA3,KARANA3END,SUNSIGN,MOONSIGN,RAHU KALAM,GULIKAI KALAM,YAMAGANDA,ABHIJIT,DUR MUHURATHAM,AMRIT KALAM,FESTIVALS,EMPTY,ATTENDEE,LOCATION,PRIORITY,URL,CALENDAR,UID,,,
"Pausha, Panchami Shukla Paksha, 1940 Vilambi Shaka Samvata",01/11/19,01/12/19,7:18 AM,6:15 PM,Moonrise - 10:46 AM,Moonset - 10:44 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - PaushaPurnimanta Month - Pausha,Weekday - Shukrawara,Paksha - Shukla Paksha,Tithi - Panchami ,7:54 PM,None,None,Nakshatra - Purva Bhadrapada ,Full Night,None,None,Yoga - Varigha ,7:14 AM,None,None,Karana - Balava ,7:54 PM,Karana - Kaulava ,Full Night,None,None,Sunsign - Dhanu,"Moonsign - Kumbha upto 02:04 AM, Jan 12",Rahu Kalam - 11:24 AM to 12:46 PM,Gulikai Kalam - 08:40 AM to 10:02 AM,Yamaganda - 03:30 PM to 04:53 PM,Abhijit - 12:24 PM to 01:08 PM,Dur Muhurtam - 09:29 AM to 10:13 AM,Dur Muhurtam - 01:08 PM to 01:52 PM,"Amrit Kalam - 11:48 PM to 01:35 AM, Jan 12Varjyam - 01:04 PM to 02:51 PM",from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),a2c62b58f21a62c150b393e6e9a3435f@ical.drikpanchang.com,,,
"Pausha, Shashthi Shukla Paksha, 1940 Vilambi Shaka Samvata",01/12/19,01/13/2019,7:18 AM,6:15 PM,Moonrise - 11:22 AM,Moonset - 11:33 PMShaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana,Amanta Month - PaushaPurnimanta Month - Pausha,Weekday - Shaniwara,Paksha - Shukla Paksha,Tithi - Shashthi ,10:05 PM,None,None,Nakshatra - Purva Bhadrapada ,8:44 AM,None,None,Yoga - Parigha ,Full Night,None,None,Karana - Kaulava ,9:03 AM,Karana - Taitila upto1,12:05 PM,None,None,Sunsign - Dhanu,Moonsign - Meena,Rahu Kalam - 10:02 AM to 11:25 AM,Gulikai Kalam - 07:18 AM to 08:40 AM,Yamaganda - 02:09 PM to 03:31PM,Abhijit - 12:25 PM to 01:09 PM,Dur Muhurtam - 07:18 AM to 08:02 AM,Dur Muhurtam - 08:02 AM to 08:46 AM,"Amrit Kalam - 05:50 AM, Jan 13 to 07:36 AM, Jan 13Varjyam - 07:17 PM to 09:02 PM",Day Festivals and Events - Skanda Sashti,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),25dbebd26629c9782380b7056da84828@ical.drikpanchang.com,,
"Pausha, Saptami Shukla Paksha, 1940 Vilambi Shaka Samvata",01/13/2019,01/14/2019,7:18 AM,6:16 PM,Moonrise - 11:58 AM,"Moonset - 12:22 AM, Jan 14Shaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana",Amanta Month - PaushaPurnimanta Month - Pausha,Weekday - Raviwara,Paksha - Shukla Paksha,Tithi - Saptami ,11:42 PM,None,None,Nakshatra - Uttara Bhadrapada ,11:07 AM,None,None,Yoga - Parigha ,7:37 AM,None,None,Karana - Garaja ,10:58 AM,Karana - Vanija ,11:42 PM,None,None,Sunsign - Dhanu,Moonsign - Meena,Rahu Kalam - 04:54 PM to06:16 PM,Gulikai Kalam - 03:31 PM to 04:54 PM,Yamaganda - 12:47 PM to 02:09 PM,Abhijit - 12:25 PM to 01:09 PM,"Dur Muhurtam - 04:48 PM to 05:32 PMVarjyam - 12:00 PM to 01:43 AM, Jan 14",Day Festivals and Events - Bhanu SaptamiGuru Gobind Singh Jayanti,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),48254b351285a24154b0cb65eada3362@ical.drikpanchang.com,,,,
"Pausha, Ashtami Shukla Paksha, 1940 Vilambi Shaka Samvata",01/14/2019,01/15/2019,7:18 AM,6:17 PM,Moonrise - 12:35 PM,"Moonset - 01:13 AM, Jan 15Shaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana",Amanta Month - PaushaPurnimanta Month - Pausha,Weekday - Somawara,Paksha - Shukla Paksha,Tithi - Ashtami ,12:37 AM,None,None,Nakshatra - Revati ,12:53 PM,None,None,Yoga - Shiva ,7:32 AM,Yoga - Siddha ,6:54 AM,Karana - Vishti ,12:15 PM,Karana - Bava ,12:37 AM,None,None,Sunsign - Dhanu upto 08:06 PM,Moonsign - Meena upto 12:53 PM,Rahu Kalam - 08:41 AM to 10:03 AM,Gulikai Kalam - 02:10 PM to 03:32 PM,Yamaganda - 11:25 AM to 12:47 PM,Abhijit - 12:26 PM to 01:09 PM,Dur Muhurtam - 01:09 PM to 01:53 PM,Dur Muhurtam - 03:21 PM to 04:05 PM,Amrit Kalam - 10:19 AM to 12:02 PM,"Amrit Kalam - 06:26 AM, Jan 15 to 08:06 AM, Jan 15",Day Festivals and Events - Masik DurgashtamiBanada Ashtami //goo.gl/Y7mMvRBhogi Pandigai goo.gl/QBR5KMLohri,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),001c1d3c5e96f10cf5534b1d8c18093b@ical.drikpanchang.com,
"Pausha, Navami Shukla Paksha, 1940 Vilambi Shaka Samvata",01/15/2019,01/16/2019,7:19 AM,6:17 PM,Moonrise - 01:14 PM,"Moonset - 02:07 AM, Jan 16Shaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana",Amanta Month - PaushaPurnimanta Month - Pausha,Weekday - Mangalawara,Paksha - Shukla Paksha,Tithi - Navami ,12:45 AM,None,None,Nakshatra - Ashwini ,1:57 PM,None,None,Yoga - Sadhya ,5:39 AM,None,None,Karana - Balava ,12:47 PM,Karana - Kaulava ,12:45 AM,None,None,Sunsign - Makara,Moonsign - Mesha,Rahu Kalam - 03:33 PM to 04:55 PM,Gulikai Kalam - 12:48 PM to 02:10 PM,Yamaganda - 10:03 AM to 11:26 AM,Abhijit - 12:26 PM to 01:10 PM,Dur Muhurtam - 09:30 AM to 10:14 AM,"Dur Muhurtam - 11:30 PM to 12:22 AM, Jan 16Varjyam - 09:46 AM to 11:26 AMVarjyam - 11:39 PM to 01:16 AM, Jan 16",Day Festivals and Events - Pongal goo.gl/KZZhsbMakara Sankranti goo.gl/V9zfN4Uttarayana goo.gl/Hwo8YYMakaravilakku goo.gl/MU9GkiMagh Bihu goo.gl/BAi9XX,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),92106ae2b346d524a140b0be308da8cf@ical.drikpanchang.com,,,
"Pausha, Dashami Shukla Paksha, 1940 Vilambi Shaka Samvata",01/16/2019,01/17/2019,7:19 AM,6:18 PM,Moonrise - 01:56 PM,"Moonset - 03:03 AM, Jan 17Shaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana",Amanta Month - PaushaPurnimanta Month - Pausha,Weekday - Budhawara,Paksha - Shukla Paksha,Tithi - Dashami ,12:03 AM,None,None,Nakshatra - Bharani ,2:13 PM,None,None,Yoga - Shubha ,3:45 AM,None,None,Karana - Taitila ,12:30 PM,Karana - Garaja ,12:03 AM,None,None,Sunsign - Makara,Moonsign - Mesha upto 08:09 PM,Rahu Kalam - 12:48 PM to 02:11 PM,Gulikai Kalam - 11:26 AM to 12:48 PM,Yamaganda - 08:41 AM to 10:03 AM,Abhijit - None,Dur Muhurtam - 12:26 PM to 01:10 PM,"Amrit Kalam - 09:22 AM to 10:59 AMVarjyam - 01:57 AM, Jan 17 to 03:31 AM, Jan 17",Day Festivals and Events - Mattu Pongalgoo.gl/fA3fm1Masik Karthigai,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),05869ea6afec1678462f3846cc2e5edd@ical.drikpanchang.com,,,
"Pausha, Ekadashi Shukla Paksha, 1940 Vilambi Shaka Samvata",01/17/2019,01/18/2019,7:19 AM,6:18 PM,Moonrise - 02:42 PM,"Moonset - 04:03 AM, Jan 18Shaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana",Amanta Month - PaushaPurnimanta Month - Pausha,Weekday - Guruwara,Paksha - Shukla Paksha,Tithi - Ekadashi ,10:34 PM,None,None,Nakshatra - Krittika ,1:41 PM,None,None,Yoga - Shukla ,1:15 AM,None,None,Karana - Vanija ,11:25 AM,Karana - Vishti ,10:34 PM,None,None,Sunsign - Makara,Moonsign - Vrishabha,Rahu Kalam - 02:11 PM to 03:34 PM,Gulikai Kalam - 10:04 AM to 11:26 AM,Yamaganda - 07:19 AMto 08:41 AM,Abhijit - 12:27 PM to 01:11 PM,Dur Muhurtam - 10:59 AM to 11:43 AM,Dur Muhurtam - 03:23 PM to 04:06 PM,"Amrit Kalam - 11:20 AM to 12:54 PMVarjyam - 04:51 AM, Jan 18 to 06:22 AM, Jan 18",Day Festivals and Events - Pausha Putrada Ekadashi goo.gl/zdzFhbTailang Swami Jayanti,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),1a663d9e5b72efe252f5050fb246272a@ical.drikpanchang.com,,
"Pausha, Dwadashi Shukla Paksha, 1940 Vilambi Shaka Samvata",01/18/2019,01/19/2019,7:19 AM,6:19 PM,Moonrise - 03:34 PM,"Moonset - 05:06 AM, Jan 19Shaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana",Amanta Month - PaushaPurnimanta Month - Pausha,Weekday - Shukrawara,Paksha - Shukla Paksha,Tithi - Dwadashi ,8:22 PM,None,None,Nakshatra - Rohini ,12:26 PM,None,None,Yoga - Brahma ,10:11 PM,None,None,Karana - Bava ,9:33 AM,Karana - Balava ,8:22 PM,Karana - Kaulava ,7:02 AM,Sunsign - Makara,Moonsign - Vrishabha upto 11:33 PM,Rahu Kalam - 11:26 AM to 12:49 PM,Gulikai Kalam - 08:41 AM to 10:04 AM,Yamaganda - 03:34 PM to 04:57 PM,Abhijit - 12:27 PM to 01:11 PM,Dur Muhurtam - 09:31 AM to 10:15 AM,Dur Muhurtam - 01:11 PM to 01:55 PM,Amrit Kalam - 09:24 AM to 10:55 AM,"Amrit Kalam - 02:26 AM, Jan 19 to 03:54 AM, Jan 19Varjyam - 05:35 PM to 07:04 PM",Day Festivals and Events - Pausha Putrada Ekadashi Parana goo.gl/zdzFhbKurma DwadashiPradosh VratRohini Vrat,from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),fd6dc3987851f3f436941cfee1f8c7e7@ical.drikpanchang.com,
"Pausha, Trayodashi Shukla Paksha, 1940 Vilambi Shaka Samvata",01/19/2019,01/20/2019,7:19 AM,6:20 PM,Moonrise - 04:32 PM,"Moonset - 06:09 AM, Jan 20Shaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana",Amanta Month - PaushaPurnimanta Month - Pausha,Weekday - Shaniwara,Paksha - Shukla Paksha,Tithi - Trayodashi ,5:34 PM,None,None,Nakshatra - Mrigashirsha ,10:32 AM,None,None,Yoga - Indra ,6:38 PM,None,None,Karana - Taitila ,5:34 PM,Karana - Garaja ,4:00 AM,None,None,Sunsign - Makara,Moonsign - Mithuna,Rahu Kalam - 10:04 AM to 11:27 AM,Gulikai Kalam - 07:19 AM to 08:41 AM,Yamaganda - 02:12 PM to 03:34 PM,Abhijit - 12:27 PM to 01:11 PM,Dur Muhurtam - 07:19 AMto 08:03 AM,Dur Muhurtam - 08:03 AM to 08:47 AM,"Amrit Kalam - 11:08 PM to 12:34 AM, Jan 20Varjyam - 06:05 PM to 07:32 PM",from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),b81b6af8b06fcc051cef404feee0601c@ical.drikpanchang.com,,,
"Pausha, Chaturdashi Shukla Paksha, 1940 Vilambi Shaka Samvata",01/20/2019,01/21/2019,7:19 AM,6:20 PM,Moonrise - 05:35 PM,"Moonset - 07:11 AM, Jan 21Shaka Samvat - 1940 VilambiVikram Samvat - 2075 VirodhakritGujarati Samvat - 2075 Sadharana",Amanta Month - PaushaPurnimanta Month - Pausha,Weekday - Raviwara,Paksha - Shukla Paksha,Tithi - Chaturdashi ,2:19 PM,None,None,Nakshatra - Ardra ,8:08 AM,Nakshatra - Punarvasu ,5:23 AM,Yoga - Vaidhriti ,2:44 PM,None,None,Karana - Vanija ,2:19 PM,Karana - Vishti ,12:34 AM,None,None,Sunsign - Makara,"Moonsign - Mithuna upto 12:06 AM, Jan 21",Rahu Kalam - 04:58 PM to 06:20 PM,Gulikai Kalam - 03:35 PM to 04:58 PM,Yamaganda - 12:49 PM to 02:12 PM,Abhijit - 12:27 PM to 01:12 PM,Dur Muhurtam - 04:52 PM to 05:36PM,"Amrit Kalam - 03:16 AM, Jan 21 to 04:41 AM, Jan 21Varjyam - 06:45PM to 08:10 PM",from www.drikpanchang.com ,,"Mumbai, India",,,Drik Panchang - 2019 (1),a62d3d287f2b82dec19717f04d18fe1b@ical.drikpanchang.com,,,,
